measure_id,elec_load_shape_mapping,start_year,start_quarter,avoided_cost_subset,unit_quantity,estimated_useful_life,net_to_gross_ratio,discount_rate_ratio,admin_cost_dollars,measure_cost_dollars,incentive_cost_dollars,gas_load_shape_mapping,gas_saving_therms,elec_savings_mwh,avoided_costs,avoided_cost_version
MAR101323,NONRES_INDOOR_CFL_LTG_PGE,2022,1,PGE_CZ12,1,12,0.95,0.0766,8583.76,13193.17,0,annual,0,58.46898797,,full_ca_avoided_costs_2020acc_v2
MAR101321,NONRES_INDOOR_CFL_LTG_PGE,2022,2,PGE_CZ12,1,12,0.95,0.0766,26606.87,25013.925,0,annual,0,33.56429381,,
MAR101322,NONRES_INDOOR_CFL_LTG_PGE,2022,2,PGE_CZ12,1,12,0.95,0.0766,16409.01,11175.205,0,annual,0,71.47497671,,
MAR100695,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ2,1,12,0.95,0.0766,2368.87,11619.835,0,annual,0,-14.44309103,,
MAR101162,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ12,1,12,0.95,0.0766,19466.25,25313.655,0,annual,0,-52.1800074,,
MAR101157,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ3A,1,12,0.95,0.0766,24131.52,32926.455,0,annual,0,109.1708919,,
MAR101160,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ3B,1,12,0.95,0.0766,15126.32,23236.1,0,annual,0,168.1186797,,
MAR101159,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ12,1,12,0.95,0.0766,16314.05,28224.37,0,annual,0,51.60196315,,
MAR101161,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ12,1,12,0.95,0.0766,19715.37,24803.42,0,annual,0,145.0764791,,
MAR100595,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ3A,1,12,0.95,0.0766,25808.39,40310.465,0,annual,0,163.7392705,,
MAR101096,NONRES_INDOOR_CFL_LTG_PGE,2022,3,PGE_CZ3A,1,12,0.95,0.0766,12843.58,48884.05,0,annual,0,104.5675593,,
MAR101158,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ2,1,12,0.95,0.0766,13221.63,18246.215,0,annual,0,342.7764653,,
MAR100562,NONRES_INDOOR_CFL_LTG_PGE,2021,3,PGE_CZ3B,1,12,0.95,0.0766,18035.73,33156.325,0,annual,0,121.7259434,,
MAR101095,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ3B,1,12,0.95,0.0766,27049.61,31192.16,0,annual,0,267.493933,,
MAR101024,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ3B,1,12,0.95,0.0766,57233.72,49459.71,0,annual,0,139.3654425,,
MAR101094,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ3A,1,12,0.95,0.0766,16284.23,27003.1,0,annual,0,115.3438719,,
MAR101093,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,5651.68,25967.435,0,annual,0,37.38167774,,
MAR100628,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,36749.65,124693,0,annual,0,169.9841008,,
MAR101156,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ3A,1,12,0.95,0.0766,18576.69,28492.82,0,annual,0,168.1262243,,
MAR100661,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,33695.37,124777.225,0,annual,0,121.6537247,,
MAR101092,NONRES_INDOOR_CFL_LTG_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,33379.4,45138.77,0,annual,0,75.16858273,,
MAR101424,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ2,1,12,0.95,0.0766,1942.974,2505,0,annual,0,12.19827978,,
MAR101486,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ3A,1,12,0.95,0.0766,1781.73,3090,0,annual,0,53.27157505,,
MAR101388,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,3624.168,1878,0,annual,0,-58.98572448,,
MAR101421,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,1312.716,1395,0,annual,0,12.43447257,,
MAR101425,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,2041.998,4095,0,annual,0,-2.686686964,,
MAR101423,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,1385.64,2160,0,annual,0,25.80006226,,
MAR101387,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,2106.312,1860,0,annual,0,63.16073894,,
MAR101422,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ12,1,12,0.95,0.0766,7584.558,8145,0,annual,0,175.6087016,,
MAR101420,NONRES_HVAC_SPLIT_PACKAGE_AC_PGE,2021,4,PGE_CZ3B,1,12,0.95,0.0766,7701.81,8490,0,annual,0,-41.18740164,,
E1,hvac_electrification_previous_ac_kwh_impact_norm,2025,1,SCE_CZ8,1,15,0.85,0.075,1000,3000,1500,hvac_electrification_previous_ac_therms_impact_norm,200,-1.5,,
