project_id,load_shape,start_year,start_quarter,utility,units,eul,ntg,discount_rate,admin_cost,measure_cost,incentive_cost,therms_profile,therms_savings,mwh_savings,region
MAR101323,NONRES_INDOOR_CFL_LTG,2022,1,PGE,1.0,12,0.95,0.0766,8583.76,13193.17,0.0,annual,0.0,58.46898797340098,CZ12
MAR101321,NONRES_INDOOR_CFL_LTG,2022,2,PGE,1.0,12,0.95,0.0766,26606.87,25013.925,0.0,annual,0.0,33.564293812885495,CZ12
MAR101322,NONRES_INDOOR_CFL_LTG,2022,2,PGE,1.0,12,0.95,0.0766,16409.01,11175.205,0.0,annual,0.0,71.47497670928963,CZ12
MAR100695,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,2368.87,11619.835,0.0,annual,0.0,-14.443091028327194,CZ2
MAR101162,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,19466.25,25313.655,0.0,annual,0.0,-52.18000739854299,CZ12
MAR101157,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,24131.52,32926.455,0.0,annual,0.0,109.17089193615165,CZ3A
MAR101160,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,15126.32,23236.1,0.0,annual,0.0,168.11867969901016,CZ3B
MAR101159,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,16314.05,28224.37,0.0,annual,0.0,51.60196315116698,CZ12
MAR101161,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,19715.37,24803.42,0.0,annual,0.0,145.07647913814023,CZ12
MAR100595,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,25808.39,40310.465,0.0,annual,0.0,163.73927045274812,CZ3A
MAR101096,NONRES_INDOOR_CFL_LTG,2022,3,PGE,1.0,12,0.95,0.0766,12843.58,48884.05,0.0,annual,0.0,104.5675593436475,CZ3A
MAR101158,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,13221.63,18246.215,0.0,annual,0.0,342.7764652814422,CZ2
MAR100562,NONRES_INDOOR_CFL_LTG,2021,3,PGE,1.0,12,0.95,0.0766,18035.73,33156.325,0.0,annual,0.0,121.72594337426023,CZ3B
MAR101095,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,27049.61,31192.16,0.0,annual,0.0,267.49393301630306,CZ3B
MAR101024,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,57233.72,49459.71,0.0,annual,0.0,139.36544250647754,CZ3B
MAR101094,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,16284.23,27003.1,0.0,annual,0.0,115.34387189792317,CZ3A
MAR101093,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,5651.68,25967.435,0.0,annual,0.0,37.38167773526903,CZ12
MAR100628,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,36749.65,124693.0,0.0,annual,0.0,169.9841007678139,CZ12
MAR101156,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,18576.69,28492.82,0.0,annual,0.0,168.12622426079844,CZ3A
MAR100661,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,33695.37,124777.225,0.0,annual,0.0,121.65372473640696,CZ12
MAR101092,NONRES_INDOOR_CFL_LTG,2021,4,PGE,1.0,12,0.95,0.0766,33379.4,45138.77,0.0,annual,0.0,75.16858272879294,CZ12
MAR101424,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,1942.974,2505.0,0.0,annual,0.0,12.198279779775865,CZ2
MAR101486,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,1781.73,3090.0,0.0,annual,0.0,53.2715750478595,CZ3A
MAR101388,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,3624.1679999999997,1878.0,0.0,annual,0.0,-58.98572448049053,CZ12
MAR101421,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,1312.7160000000001,1395.0,0.0,annual,0.0,12.434472569552044,CZ12
MAR101425,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,2041.9979999999998,4095.0,0.0,annual,0.0,-2.686686963873815,CZ12
MAR101423,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,1385.64,2160.0,0.0,annual,0.0,25.800062260300376,CZ12
MAR101387,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,2106.312,1860.0,0.0,annual,0.0,63.1607389355981,CZ12
MAR101422,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,7584.558,8145.0,0.0,annual,0.0,175.60870155960666,CZ12
MAR101420,NONRES_HVAC_SPLIT_PACKAGE_AC,2021,4,PGE,1.0,12,0.95,0.0766,7701.8099999999995,8490.0,0.0,annual,0.0,-41.18740163773205,CZ3B
