utility,region,quarter,month,summer,annual,winter
PGE,,1,1,0.0,0.08333333333,0.2517591821
SCE,,1,1,0.0,0.08333333333,0.2517591821
SCG,,1,1,0.0,0.08333333333,0.2517591821
SDGE,,1,1,0.0,0.08333333333,0.2517591821
PGE,,1,2,0.0,0.08333333333,0.1714297839
SCE,,1,2,0.0,0.08333333333,0.1714297839
SCG,,1,2,0.0,0.08333333333,0.1714297839
SDGE,,1,2,0.0,0.08333333333,0.1714297839
PGE,,1,3,0.0,0.08333333333,0.08381559742
SCE,,1,3,0.0,0.08333333333,0.08381559742
SCG,,1,3,0.0,0.08333333333,0.08381559742
SDGE,,1,3,0.0,0.08333333333,0.08381559742
PGE,,2,4,0.0,0.08333333333,0.02557479229
SCE,,2,4,0.0,0.08333333333,0.02557479229
SCG,,2,4,0.0,0.08333333333,0.02557479229
SDGE,,2,4,0.0,0.08333333333,0.02557479229
PGE,,2,5,0.0,0.08333333333,0.006166824806
SCE,,2,5,0.0,0.08333333333,0.006166824806
SCG,,2,5,0.0,0.08333333333,0.006166824806
SDGE,,2,5,0.0,0.08333333333,0.006166824806
PGE,,2,6,0.25,0.08333333333,0.001780640167
SCE,,2,6,0.25,0.08333333333,0.001780640167
SCG,,2,6,0.25,0.08333333333,0.001780640167
SDGE,,2,6,0.25,0.08333333333,0.001780640167
PGE,,3,7,0.25,0.08333333333,0.003685284643
SCE,,3,7,0.25,0.08333333333,0.003685284643
SCG,,3,7,0.25,0.08333333333,0.003685284643
SDGE,,3,7,0.25,0.08333333333,0.003685284643
PGE,,3,8,0.25,0.08333333333,0.004395304727
SCE,,3,8,0.25,0.08333333333,0.004395304727
SCG,,3,8,0.25,0.08333333333,0.004395304727
SDGE,,3,8,0.25,0.08333333333,0.004395304727
PGE,,3,9,0.25,0.08333333333,0.003475061246
SCE,,3,9,0.25,0.08333333333,0.003475061246
SCG,,3,9,0.25,0.08333333333,0.003475061246
SDGE,,3,9,0.25,0.08333333333,0.003475061246
PGE,,4,10,0.0,0.08333333333,0.05021675845
SCE,,4,10,0.0,0.08333333333,0.05021675845
SCG,,4,10,0.0,0.08333333333,0.05021675845
SDGE,,4,10,0.0,0.08333333333,0.05021675845
PGE,,4,11,0.0,0.08333333333,0.1177174032
SCE,,4,11,0.0,0.08333333333,0.1177174032
SCG,,4,11,0.0,0.08333333333,0.1177174032
SDGE,,4,11,0.0,0.08333333333,0.1177174032
PGE,,4,12,0.0,0.08333333333,0.279983367
SCE,,4,12,0.0,0.08333333333,0.279983367
SCG,,4,12,0.0,0.08333333333,0.279983367
SDGE,,4,12,0.0,0.08333333333,0.279983367
